question_id,source_pdf,source_pdf_sha256,source_page,missing_element,asset_path,width_px,height_px,sha256,source_image_count,teacher_answer_mark_included,review_status,chapter_relation_count,production_rendered,alt_text
20200704_001,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,1,렌더링 작업을 설명한 보기 상자,src/assets/questions/computer-literacy/20200704_001.png,969,212,53eac19e4c72a29e1ba9c7df1beb93ce2a9ffff5e4fb791090b44f9c2e008c1c,1,false,jpg 확필,0,false,컴퓨터 프로그램으로 3차원 애니메이션 사물 모형에 명암과 색상을 추가하는 작업을 설명한 보기
20200704_018,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,2,㉠~㉣이 표시된 노트북 사양 목록,src/assets/questions/computer-literacy/20200704_018.png,539,284,d09a90d6467ee70cf25a7db34f686c56519e42ee6a60dbe78d6b3db155e6584d,1,false,jpg 확필,0,false,"Intel Core i5-8세대, Intel UHD Graphics 620, 16GB DDR4 RAM, SSD 256GB로 구성된 노트북 사양"
20200704_021,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,2,엑셀 빠른 실행 도구 모음의 실행 취소 아이콘,src/assets/questions/computer-literacy/20200704_021.png,72,59,d661f355a95d698be32ade60974d750de0214982ec10c87361dac8edbf7c3428,1,false,jpg 확필,0,false,왼쪽으로 굽은 파란색 화살표 모양의 실행 취소 아이콘
20200704_023,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,2,제품별 판매현황 표와 목표값 찾기 설정 화면,src/assets/questions/computer-literacy/20200704_023.png,972,751,81c966163fbc380f59524aa53b41d8ed8c58668928576b3e53d5d0107310f3a1,1,false,jpg 확필,0,false,"노트북·프린터·스캐너 판매량과 평균을 보여 주는 표 및 수식 셀 E4, 찾는 값 40, 값을 바꿀 셀 B4가 입력된 목표값 찾기 화면"
20200704_025,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,3,근무기간과 나이를 조합한 고급 필터 조건 선택지 네 개,src/assets/questions/computer-literacy/20200704_025.png,716,684,799d2255c5d2e1a377cdf8cb177e42df27e3337da30ad83f6cdeaf5b57163cab,4,false,jpg 확필,0,false,근무기간 15년 이상과 나이 50세 이상 조건을 행과 열에 다르게 배치한 선택지 네 개
20200704_026,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,3,엑셀 부분합 설정 대화상자,src/assets/questions/computer-literacy/20200704_026.png,847,984,4f048b4b393b5cc49cfbb997befe891f0f1f538a19fa1b4ccd05e51908125f48,1,false,jpg 확필,0,false,"그룹화할 항목은 지점, 사용할 함수는 합계, 부분합 계산 항목은 재고로 설정된 부분합 대화상자"
20200704_027,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,3,입력 데이터·표시 형식·표시 결과 선택지 네 개,src/assets/questions/computer-literacy/20200704_027.png,951,563,7ac72bff5c34afa97353ebbfe32c04ec7db5a88a869ab602c00640f5aad5d610,5,false,jpg 확필,0,false,"입력 데이터와 표시 형식, 표시 결과를 비교하는 선택지 네 개"
20200704_028,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,3,엑셀 통합 설정 대화상자,src/assets/questions/computer-literacy/20200704_028.png,1062,833,e1f5a82872da8a34c582c71e09a91ae3eb4595b1c24c5ed74ea1056e8ea8523c,1,false,jpg 확필,0,false,"함수 합계와 사용할 레이블, 원본 데이터 연결 항목이 표시된 통합 대화상자"
20200704_029,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,3,가·갑·월·자가 입력된 워크시트 행,src/assets/questions/computer-literacy/20200704_029.png,1047,514,1be7bd37cbbe550b7670194d7a715655e038358dcc1cb73fa61c5faaec911e12,1,false,jpg 확필,0,false,"A1부터 D1까지 가, 갑, 월, 자가 입력되고 해당 범위가 선택된 워크시트"
20200704_032,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,4,메모가 표시된 성적 관리 워크시트,src/assets/questions/computer-literacy/20200704_032.png,859,414,f910ec5284cec2f5f7d9e68512e47a25c4fea82e9802fbf2c7169bc65463e679,1,false,jpg 확필,0,false,A4 셀의 이름 이길순 옆에 장학생 메모가 표시된 성적 관리 워크시트
20200704_033,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,4,이율과 원금에 따른 수익금액 계산표,src/assets/questions/computer-literacy/20200704_033.png,1062,493,1755505f4ff13905b0ada7580f3f3b6884fadb44274406d2b561fc9838b0887c,1,false,jpg 확필,0,false,"행에는 이율 1.5%, 2.3%, 3.0%, 5.0%, 열에는 원금이 배치된 수익금액 계산표"
20200704_035,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,4,환자번호와 성별 코드표가 포함된 워크시트,src/assets/questions/computer-literacy/20200704_035.png,914,701,f21e48e2938c88dbeb8ac8eaad3e0761b71d87cce98a81147efe61ab38a5a83c,1,false,jpg 확필,0,false,환자번호의 네 번째 문자 M과 F를 성별 남과 여로 변환하는 데이터표와 코드표
20200704_036,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,4,나무 종류와 수확량 데이터가 포함된 워크시트,src/assets/questions/computer-literacy/20200704_036.png,1062,724,4d7407a3d8762480aa0b703baf4f60b117d2e67092928d8c9e8273c59299fdf1,1,false,jpg 확필,0,false,"나무번호, 종류, 높이, 나이, 수확량, 수입과 사과나무 평균 수확량 셀이 포함된 표"
20200704_038,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,5,매크로 보안 경고가 표시된 엑셀 화면,src/assets/questions/computer-literacy/20200704_038.png,1062,689,7df91edf85f19a85e9e0d57432ce7e38dc70d343e805728bafe208d3341c7a1c,1,false,jpg 확필,0,false,보안 경고와 콘텐츠 사용 버튼이 표시된 엑셀 화면
20200704_039,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,5,학점별 인원수를 클럽 기호로 표시한 워크시트,src/assets/questions/computer-literacy/20200704_039.png,877,686,a32e5abfd3800f29ed7614f242fdf06daf200338bfa37b7dc8c2c350451974d4,1,false,jpg 확필,0,false,학생별 학점과 학점별 인원수를 클럽 기호로 표시한 엑셀 성적 분포표
20200704_040,20200704-teacher.pdf,29518812f1f7bc964749add1dab8445485ba51d93b23f23b2f5b5cfe90c2f808,5,반별 남녀 인원 표와 묶은 세로 막대형 차트,src/assets/questions/computer-literacy/20200704_040.png,864,1049,7e184ee869387af51d6bc0d9a76d91cafa00dbf8c630f9ccceb8972654c700d4,1,false,jpg 확필,0,false,반별 남녀 인원과 합계를 나타낸 표 및 남녀 묶은 세로 막대형 차트
