priority,cert_id,subject_id,slug,title,body_characters,h2_count,h3_count,has_table,has_math,question_relation_count,body_characters_per_question,audit_reason
우선,industrial-safety,4,static-occurrence-factors,정전기 발생 요인,525,4,0,true,false,8,65.6,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,6,steel-pipe-scaffold,강관비계·강관틀비계 설치 기준,556,4,0,true,false,9,61.8,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,press-pre-work-checklist,프레스 작업시작 전 점검사항 7가지,557,4,0,true,false,9,61.9,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,heating-load-radiators,난방부하·방열기 계산,567,5,0,false,false,45,12.6,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,4,static-prevention,정전기 재해 방지 대책,593,4,0,true,false,14,42.4,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,mold-safety,금형 설치·해체 안전조치와 안전블록,605,4,0,true,false,10,60.5,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,insulation-materials,보온·단열재,613,5,0,false,false,41,15,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,boiler-accessory-equipment,보일러 계측·부속장치,631,4,0,false,false,86,7.3,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,machine-tools-safety,공작기계 안전 (선반·밀링·드릴),631,4,0,true,false,22,28.7,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,5,reactor-distillation-equipment,반응기·증류탑·열교환기,637,4,0,true,false,9,70.8,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,conveyor-safety,콘베이어 안전,644,4,0,true,false,10,64.4,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,6,excavation-slope-standard,굴착면 기울기 기준표,647,4,0,true,true,8,80.9,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,steam-traps-condensate,증기트랩·응축수 환수,649,5,0,true,false,25,26,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,6,temporary-passage-stairs,가설통로·계단 기준,651,4,0,true,false,9,72.3,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,environmental-pollution-control,집진·환경설비,654,4,0,true,false,31,21.1,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,test-types,재료 시험 종류,659,4,0,true,false,14,47.1,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,6,tunnel-blasting,터널·발파 안전,660,4,0,true,false,16,41.3,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,fuel-properties,연료 특성·발열량,681,5,0,false,false,83,8.2,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,5,complete-combustion-cst,완전연소 조성 농도 (Cst),684,4,0,true,true,8,85.5,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,6,steel-frame-work,철골작업 안전,697,4,0,true,false,10,69.7,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,4,electrical-fire-causes,전기화재 원인,700,4,0,true,false,8,87.5,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,1,protective-equipment-types,보호구 종류 및 적용,706,4,0,true,false,10,70.6,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,draft-flue-gas,통풍·연도·굴뚝,713,5,0,true,false,47,15.2,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,press-safety-devices,프레스 방호장치 종류,718,4,0,true,false,12,59.8,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,3,industrial-robot-safety,산업용 로봇 안전 조치,734,4,0,true,false,10,73.4,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,2,cutset-pathset,컷셋·패스셋·미니멀,735,4,0,true,true,13,56.5,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,burners-furnaces-atomization,버너·화격자·연소장치,754,5,0,true,false,62,12.2,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,boiler-installation-combustion,연소·공기비·배기가스 계산,763,5,0,false,false,44,17.3,기출 관계가 8개 이상인데 본문이 800자 미만
우선,energy-management,1,heating-systems,증기·온수·복사난방,771,5,0,false,false,114,6.8,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,2,system-analysis-techniques,시스템 분석 기법 비교,780,4,0,true,false,11,70.9,기출 관계가 8개 이상인데 본문이 800자 미만
우선,industrial-safety,6,safety-management-cost,산업안전보건관리비,789,4,0,true,false,12,65.8,기출 관계가 8개 이상인데 본문이 800자 미만
검토,industrial-safety,6,tower-crane-wind-limits,타워크레인 강풍 작업중지 기준,306,3,0,true,false,1,306,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,grounding-targets,전기기기 접지 대상,312,4,2,false,false,1,312,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,fire-suppression-principles,소화 원리 4가지,321,4,0,false,false,1,321,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,demolition-safety-measures,해체 작업 안전 조치,334,4,0,false,false,6,55.7,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,overload-prevention-device,양중기 과부하방지장치 기준,338,4,0,false,false,4,84.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,tower-crane-rope-support,타워크레인 와이어로프 지지,347,4,2,false,false,3,115.7,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,gangway-ladder-standard,현문 사다리 설치기준,351,3,0,true,false,2,175.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,thermal-conditions-wbgt,온열조건 (WBGT·실효온도),353,4,0,false,true,2,176.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,rmr-energy-metabolism,RMR (에너지 대사율),353,4,0,false,true,1,353,완료 챕터의 자체 본문이 450자 미만
