question_id,date,number,cert_id,exam,subject_id,review,final_topic,final_title,relation_action,current_container_slug,proposed_target_slug,slug_state,frontmatter_inclusion,blocking_reason,review_resolution,automatic_confidence,relation_state
20100131_001,2010-01-31,1,energy-management,written,1,,auxiliary-feedwater-equipment,급수·부대설비,existing-slug,boiler-auxiliary-equipment,boiler-auxiliary-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100131_002,2010-01-31,2,energy-management,written,1,,fuel-properties,연료 특성·발열량,split-candidate,boiler-installation-combustion,fuel-properties,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_003,2010-01-31,3,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_004,2010-01-31,4,energy-management,written,1,,fuel-properties,연료 특성·발열량,split-candidate,boiler-installation-combustion,fuel-properties,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_005,2010-01-31,5,energy-management,written,1,,automatic-control-interlocks,자동제어·인터록,existing-slug,boiler-control-systems,boiler-control-systems,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_006,2010-01-31,6,energy-management,written,1,jpg 확필,draft-flue-gas,통풍·연도·굴뚝,split-candidate,boiler-installation-combustion,draft-flue-gas,proposal-not-created,exclude,그림 문항 공개 검토 유지 | 신규 slug Owner 승인 필요,pdf-reviewed,high,proposal-only-not-applied
20100131_007,2010-01-31,7,energy-management,written,1,,burners-furnaces-atomization,버너·화격자·연소장치,split-candidate,boiler-installation-combustion,burners-furnaces-atomization,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_008,2010-01-31,8,energy-management,written,1,,fuel-properties,연료 특성·발열량,split-candidate,boiler-installation-combustion,fuel-properties,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_009,2010-01-31,9,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_010,2010-01-31,10,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100131_011,2010-01-31,11,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_012,2010-01-31,12,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_013,2010-01-31,13,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_014,2010-01-31,14,energy-management,written,1,,auxiliary-feedwater-equipment,급수·부대설비,existing-slug,boiler-auxiliary-equipment,boiler-auxiliary-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_015,2010-01-31,15,energy-management,written,1,,burners-furnaces-atomization,버너·화격자·연소장치,split-candidate,boiler-installation-combustion,burners-furnaces-atomization,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_016,2010-01-31,16,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_017,2010-01-31,17,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_018,2010-01-31,18,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_019,2010-01-31,19,energy-management,written,1,,automatic-control-interlocks,자동제어·인터록,existing-slug,boiler-control-systems,boiler-control-systems,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_020,2010-01-31,20,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_021,2010-01-31,21,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_022,2010-01-31,22,energy-management,written,1,,auxiliary-feedwater-equipment,급수·부대설비,existing-slug,boiler-auxiliary-equipment,boiler-auxiliary-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_023,2010-01-31,23,energy-management,written,1,,water-treatment-corrosion,수질관리·스케일·부식,existing-slug,boiler-water-treatment,boiler-water-treatment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_024,2010-01-31,24,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_025,2010-01-31,25,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_026,2010-01-31,26,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_027,2010-01-31,27,energy-management,written,1,,environmental-pollution-control,집진·환경설비,split-candidate,boiler-accessory-equipment,environmental-pollution-control,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_028,2010-01-31,28,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_029,2010-01-31,29,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_030,2010-01-31,30,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100131_031,2010-01-31,31,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_032,2010-01-31,32,energy-management,written,1,,water-treatment-corrosion,수질관리·스케일·부식,existing-slug,boiler-water-treatment,boiler-water-treatment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_033,2010-01-31,33,energy-management,written,1,,heating-load-radiators,난방부하·방열기 계산,split-candidate,boiler-installation-combustion,heating-load-radiators,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_034,2010-01-31,34,energy-management,written,1,,auxiliary-feedwater-equipment,급수·부대설비,existing-slug,boiler-auxiliary-equipment,boiler-auxiliary-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_035,2010-01-31,35,energy-management,written,1,,failures-accidents-safety,고장·사고·작업안전,existing-slug,boiler-work-safety,boiler-work-safety,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100131_036,2010-01-31,36,energy-management,written,1,,heating-load-radiators,난방부하·방열기 계산,split-candidate,boiler-installation-combustion,heating-load-radiators,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,pdf-reviewed,low,proposal-only-not-applied
20100131_037,2010-01-31,37,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_038,2010-01-31,38,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_039,2010-01-31,39,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_040,2010-01-31,40,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_041,2010-01-31,41,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_042,2010-01-31,42,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_043,2010-01-31,43,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_044,2010-01-31,44,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_045,2010-01-31,45,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
