subject_id,status,slug,title,tags,questions,body_length,content_status,kosha_enrichment,legal_enrichment,visual_priority,action_priority,pending_disposition,reason,file
1,완료,accident-analysis-tools,재해분석 도구 4종,개념,5,1063,현재 충분,아님,아님,권장,P2,,시각자료 권장,safety-management/accident-analysis-tools.md
1,완료,accident-cause-classification,재해 원인 분류,개념,5,1231,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/accident-cause-classification.md
1,완료,accident-occurrence-theories,재해 발생 학설 4가지,개념,4,1261,현재 충분,아님,아님,권장,P2,,시각자료 권장,safety-management/accident-occurrence-theories.md
1,완료,accident-prevention-principles,재해예방 4원칙,개념,6,1165,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/accident-prevention-principles.md
1,완료,accident-ratio-law,재해 비율 법칙,개념,5,1123,현재 충분,아님,아님,권장,P2,,시각자료 권장,safety-management/accident-ratio-law.md
1,완료,annual-1000-rate,연천인율,계산,3,1494,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/annual-1000-rate.md
1,완료,bird-domino-theory,버드의 수정 도미노 이론,개념,2,945,현재 충분,아님,아님,권장,P2,,시각자료 권장,safety-management/bird-domino-theory.md
1,완료,carelessness-misjudgment,부주의 발생 원인·사고방지대책,개념,2,918,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/carelessness-misjudgment.md
1,미시작,cumulative-noise-dose,누적소음노출량 D 계산,계산,0,45,미시작,아님,아님,낮음,HOLD,기존 완료 챕터 흡수 후보,기존 완료 챕터 흡수 후보,safety-management/cumulative-noise-dose.md
1,완료,fatality-per-10k,사망만인율,계산,1,534,보강 권장,아님,아님,낮음,P1,,본문 534자로 얇음,safety-management/fatality-per-10k.md
1,완료,frequency-rate,도수율,계산,1,707,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/frequency-rate.md
1,완료,frequency-severity-indicator,종합재해지수 (FSI),계산,1,539,보강 권장,아님,아님,낮음,P1,,본문 539자로 얇음,safety-management/frequency-severity-indicator.md
1,완료,group-discussion-methods,집단토의법 종류,개념,1,743,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/group-discussion-methods.md
1,완료,hazard-prediction-training,위험예지훈련,절차,5,1101,보강 권장,필요,아님,권장,P1,,KOSHA 현장 해설·사례 보강 후보; 시각자료 권장,safety-management/hazard-prediction-training.md
1,미시작,hearing-protection,방음보호구 EP-1·EP-2·EM,개념,0,45,미시작,후속 검증,후속 검증,권장,P2,독립 챕터 유지 후보,독립 챕터 유지 후보,safety-management/hearing-protection.md
1,완료,heinrich-domino-theory,하인리히 도미노 이론,개념,2,1019,현재 충분,아님,아님,권장,P2,,시각자료 권장,safety-management/heinrich-domino-theory.md
1,완료,human-error-by-process,인간 동작특성 - 과정별 착오요인,개념,3,864,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/human-error-by-process.md
1,완료,human-relations-mechanism,인간관계 메커니즘,개념,4,970,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/human-relations-mechanism.md
1,완료,industrial-accident-insurance,산재보험 보험급여 8종,개념+법령,4,1049,보강 권장,아님,필요,낮음,P1,,법령 태그이나 전용 근거 영역 없음,safety-management/industrial-accident-insurance.md
1,완료,leadership-headship,리더십·헤드십,개념,2,567,보강 권장,아님,아님,낮음,P1,,본문 567자로 얇음,safety-management/leadership-headship.md
1,완료,learning-theories,학습이론 (손다이크·파블로프·스키너),개념,2,622,보강 권장,아님,아님,낮음,P1,,본문 622자로 얇음,safety-management/learning-theories.md
1,완료,motivation-theories,동기부여 이론 (매슬로·맥그리거·허즈버그),개념,3,759,현재 충분,아님,아님,낮음,READY,,현재 기출 중심 설명 구조로 우선 사용 가능,safety-management/motivation-theories.md
1,완료,ojt-offjt,OJT·Off-JT,개념,5,692,보강 권장,아님,아님,낮음,P1,,본문 692자로 얇음,safety-management/ojt-offjt.md
