question_id,date,number,review,primary_topic,primary_title,current_slug,final_topic,final_title,final_current_slug,review_resolution,score,runner_up,runner_up_score,confidence,tied,secondary_topics,matched_terms,body
20100131_001,2010-01-31,1,,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,automatic,16,piping-fittings-valves,14,medium,false,piping-fittings-valves:14 | boiler-types-construction:12,본문:공기예열기,"수직의 다수 강관이나 주철관을 사용하여 연소가스는 관내를, 공기는 관 외부를 직각으로 흐르게 하여 관의 열전도로 공기를 가열하는 공기예열기는?"
20100131_002,2010-01-31,2,,fuel-properties,연료 특성·발열량,boiler-installation-combustion,fuel-properties,연료 특성·발열량,boiler-installation-combustion,automatic,16,heat-steam-thermodynamics,7,high,false,,본문:인화·발화,연료의 인화점에 대한 설명으로 가장 옳은 것은?
20100131_003,2010-01-31,3,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,20,heat-steam-thermodynamics,7,high,false,,본문:열정산,보일러 열정산의 조건과 관련된 설명으로 틀린 것은?
20100131_004,2010-01-31,4,,fuel-properties,연료 특성·발열량,boiler-installation-combustion,fuel-properties,연료 특성·발열량,boiler-installation-combustion,automatic,35,combustion-air-calculation,3,high,false,,본문:연료 종류 | 선택지:석탄 | 선택지:발열량 | 선택지:연료 성분,보일러 연료의 구비조건으로 틀린 것은?
20100131_005,2010-01-31,5,,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic,36,auxiliary-feedwater-equipment,0,high,false,,본문:자동제어 | 본문:제어동작,보일러의 자동제어를 제어동작에 따라 구분할 때 연속동작에 해당되는 것은?
20100131_006,2010-01-31,6,jpg 확필,draft-flue-gas,통풍·연도·굴뚝,boiler-installation-combustion,draft-flue-gas,통풍·연도·굴뚝,boiler-installation-combustion,pdf-reviewed,44,automatic-control-interlocks,0,high,false,,본문:통풍 | 본문:송풍기 | 본문:풍량,"통풍기의 소요동력을 구하는 식으로 옳은 것은? (단, Q : 풍량(㎥/min), P : 통풍압(㎜Aq), η : 효율)"
20100131_007,2010-01-31,7,,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,automatic,20,automatic-control-interlocks,0,high,false,,본문:버너,가스버너의 종류를 혼합방식에 따라 세분할 때 강제혼합식에 해당되지 않는 것은?
20100131_008,2010-01-31,8,,fuel-properties,연료 특성·발열량,boiler-installation-combustion,fuel-properties,연료 특성·발열량,boiler-installation-combustion,automatic,35,heat-steam-thermodynamics,7,high,false,,본문:연료 종류 | 선택지:석탄 | 선택지:발열량 | 선택지:연료 성분,보일러 액체 연료의 특징 설명으로 틀린 것은?
20100131_009,2010-01-31,9,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,automatic,39,automatic-control-interlocks,0,high,false,,선택지:엔탈피·잠열 | 본문:열역학 상태변화 | 본문:비열·열량,상태변화 없이 물체의 온도 변화에만 소요되는 열량은?
20100131_010,2010-01-31,10,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,automatic,9,automatic-control-interlocks,0,medium,false,,선택지:증기 상태,액체가 모두 증기가 된 상태이며 이때의 온도는 포화온도이고 증기만 존재한다. 이러한 상태의 증기를 무슨 증기라고 하는가?
20100131_011,2010-01-31,11,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,20,operation-maintenance-preservation,6,high,false,,선택지:보일러 구조 | 본문:급수내관·수위,보일러의 안전 저수면 이란?
20100131_012,2010-01-31,12,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,20,heat-steam-thermodynamics,9,high,false,,본문:열정산,보일러의 열손실에 해당되지 않는 것은?
20100131_013,2010-01-31,13,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,30,automatic-control-interlocks,0,high,false,,본문:보일러 형식 | 본문:보일러 구조,"수관식 보일러에서 전열면적을 구하는 식으로 옳은 것은? (단, 수관의 외경 : d, 수관의 길이 : L, 개수 : n이다.)"
20100131_014,2010-01-31,14,,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,automatic,28,water-treatment-corrosion,16,high,false,water-treatment-corrosion:16,선택지:절탄기 | 선택지:공기예열기 | 선택지:과열·재열,재의 부착으로 생기는 고온부식이 잘 일어나는 장치는?
20100131_015,2010-01-31,15,,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,automatic,26,draft-flue-gas,7,high,false,,선택지:버너 | 본문:화격자·연소장치,보일러 연소장치와 가장 거리가 먼 것은?
20100131_016,2010-01-31,16,,safety-devices,안전장치·연소안전,boiler-protection-devices,safety-devices,안전장치·연소안전,boiler-protection-devices,automatic,32,heat-steam-thermodynamics,14,high,false,,선택지:안전밸브·방출밸브 | 선택지:저수위 보호 | 선택지:화염 감시 | 선택지:압력 보호,보일러의 증기압력은 증기 사용량과 증기 발생량의 균형이 유지되지 않을 때에 변동이 일어난다. 이러한 변동에 대해 연료량과 공기량을 비례 조절하거나 최고사용압력에 도달하기 전에 연료의 공급을 중지시키는 장치는?
20100131_017,2010-01-31,17,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,automatic,16,insulation-materials,8,high,false,,본문:열역학 상태변화,동작유체의 상태변화에서 에너지의 이동이 없는 변화는?
20100131_018,2010-01-31,18,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,automatic,14,automatic-control-interlocks,0,high,false,,본문:기체 법칙,"표준상태(온도 0℃, 기압 760㎜Hg)에 있어서 기체의 용적단위로 맞는 것은?"
20100131_019,2010-01-31,19,,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic,42,piping-fittings-valves,5,high,false,,본문:자동제어 | 본문:제어량·조작량 | 선택지:수위·압력 제어,보일러 자동제어 신호전달 방식 중 공기압 신호전송의 특징 설명으로 틀린 것은?
