"question_id","date","number","result","source_page","inline_answer_match","final_answer_table_match","note"
"20100131_001","2010-01-31","1","PASS","1","PASS","PASS",""
"20100131_002","2010-01-31","2","PASS","1","PASS","PASS",""
"20100131_003","2010-01-31","3","PASS","1","PASS","PASS",""
"20100131_004","2010-01-31","4","PASS","1","PASS","PASS",""
"20100131_005","2010-01-31","5","PASS","1","PASS","PASS",""
"20100131_006","2010-01-31","6","IMAGE_REVIEW_INCOMPLETE","1","PASS","PASS","이미지·도형·보기 문맥이 누락되었거나 placeholder로 저장됨"
"20100131_007","2010-01-31","7","PASS","1","PASS","PASS",""
"20100131_008","2010-01-31","8","PASS","1","PASS","PASS",""
"20100131_009","2010-01-31","9","PASS","1","PASS","PASS",""
"20100131_010","2010-01-31","10","PASS","1","PASS","PASS",""
"20100131_011","2010-01-31","11","PASS","1","PASS","PASS",""
"20100131_012","2010-01-31","12","PASS","1","PASS","PASS",""
"20100131_013","2010-01-31","13","PASS","1","PASS","PASS",""
"20100131_014","2010-01-31","14","PASS","1","PASS","PASS",""
"20100131_015","2010-01-31","15","PASS","1","PASS","PASS",""
"20100131_016","2010-01-31","16","PASS","1","PASS","PASS",""
"20100131_017","2010-01-31","17","PASS","1","PASS","PASS",""
"20100131_018","2010-01-31","18","PASS","2","PASS","PASS",""
"20100131_019","2010-01-31","19","PASS","2","PASS","PASS",""
"20100131_020","2010-01-31","20","PASS","2","PASS","PASS",""
"20100131_021","2010-01-31","21","PASS","2","PASS","PASS",""
"20100131_022","2010-01-31","22","PASS","2","PASS","PASS",""
"20100131_023","2010-01-31","23","PASS","2","PASS","PASS",""
"20100131_024","2010-01-31","24","PASS","2","PASS","PASS",""
"20100131_025","2010-01-31","25","PASS","2","PASS","PASS",""
"20100131_026","2010-01-31","26","PASS","2","PASS","PASS",""
"20100131_027","2010-01-31","27","PASS","2","PASS","PASS",""
"20100131_028","2010-01-31","28","PASS","2","PASS","PASS",""
"20100131_029","2010-01-31","29","PASS","2","PASS","PASS",""
"20100131_030","2010-01-31","30","PASS","2","PASS","PASS",""
"20100131_031","2010-01-31","31","PASS","2","PASS","PASS",""
"20100131_032","2010-01-31","32","PASS","2","PASS","PASS",""
"20100131_033","2010-01-31","33","PASS","2","PASS","PASS",""
